run,warmup,records,wall_s,records_per_s,bytes,bytes_per_s
0,True,20004,0.1695185999997193,118004.74992144298,3620755,21359042.6065694
1,False,20004,0.17026249999616994,117489.17113545256,3620755,21265722.047317814
2,False,20004,0.18856389999564271,106086.05358959084,3620755,19201740.100218903
3,False,20004,0.18555960000230698,107803.63829061552,3620755,19512625.592828315
4,False,20004,0.1726812000051723,115843.53131319926,3620755,20967858.68925829
5,False,20004,0.16973390000202926,117855.06607555026,3620755,21331949.59849925
6,False,20004,0.16657100000156788,120092.93334260891,3620755,21737007.04183753
